sales_order_id,created_date,created_time,last_updated_date,last_updated_time,sales_staff_id,counterparty_id,units_sold,unit_price,currency_id,design_id,agreed_payment_date,agreed_delivery_date,agreed_delivery_location_id
1,2022-11-03,14:20:52,2022-11-03,14:20:52.186000,16,18,84754,2.43,3,9,2022-11-03,2022-11-10,4
2,2022-11-03,14:20:52,2022-11-03,14:20:52.186000,19,8,42972,3.94,2,3,2022-11-08,2022-11-07,8
3,2022-11-03,14:20:52,2022-11-03,14:20:52.188000,10,4,65839,2.91,3,4,2022-11-07,2022-11-06,19
4,2022-11-03,14:20:52,2022-11-03,14:20:52.188000,10,16,32069,3.89,2,4,2022-11-07,2022-11-05,15
5,2022-11-03,14:20:52,2022-11-03,14:20:52.186000,18,4,49659,2.41,3,7,2022-11-08,2022-11-05,25
6,2022-11-04,11:37:10,2022-11-04,11:37:10.341000,13,18,83908,3.99,3,3,2022-11-07,2022-11-04,17
7,2022-11-04,12:57:09,2022-11-04,12:57:09.926000,11,10,65453,2.89,2,7,2022-11-09,2022-11-04,28
8,2022-11-04,13:45:10,2022-11-04,13:45:10.306000,11,20,20381,2.22,2,2,2022-11-07,2022-11-06,8
10,2022-11-07,09:07:10,2022-11-07,09:07:10.485000,16,12,61620,3.86,2,3,2022-11-10,2022-11-09,20
11,2022-11-07,15:53:10,2022-11-07,15:53:10.153000,14,12,35227,3.41,2,9,2022-11-13,2022-11-08,13
12,2022-11-09,10:20:09,2022-11-09,10:20:09.912000,8,12,7693,3.88,2,2,2022-11-11,2022-11-13,15
13,2022-11-09,15:16:10,2022-11-09,15:16:10.492000,3,7,2845,2.97,3,7,2022-11-14,2022-11-16,2
14,2022-11-10,13:18:09,2022-11-10,13:18:09.926000,11,5,82159,2.65,3,6,2022-11-14,2022-11-15,6
15,2022-11-11,08:51:10,2022-11-11,08:51:10.286000,7,10,74957,3.25,3,9,2022-11-15,2022-11-12,28
17,2022-11-15,08:46:09,2022-11-15,08:46:09.873000,20,13,36220,2.0,3,7,2022-11-19,2022-11-20,9
